Ownership,Fund,,Vidhan Sabha,,Mandal,,Panchayat,,Project Details,,Recommended Amount,,Recommended Year,,Project Status
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,Project Details / Work Done / Welfare Scheme : Rs 2.00 lakh was made available to Sadar/Katkamsandi/Katkamdag/Barkagaon/Keredari/Daru/Vishnugarh/Tatijharia/Churchu/Dadi/Barhi/Chauparan and Padma for prevention and treatment of victims of the global pandemic Corona Covid-19. (13 blocks),,"Recommended Amount / Fund Amount / Fund Alloted : 26,00,000",,Recommended Year / Year of Completion : 2020,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Funds provided to Deputy Commissioner, Koderma for prevention and treatment of victims of the global pandemic Corona Covid-19.",,"Recommended Amount / Fund Amount / Fund Alloted : 10,00,000",,Recommended Year / Year of Completion : 2020,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Funds provided to the Deputy Commissioner, Chatra for the prevention and treatment of victims of the global pandemic Corona Covid-19.",,"Recommended Amount / Fund Amount / Fund Alloted : 5,00,000",,Recommended Year / Year of Completion : 2020,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Funds provided to the Deputy Commissioner, Ramgarh for the prevention and treatment of victims of the global pandemic Corona Covid-19.",,"Recommended Amount / Fund Amount / Fund Alloted : 35,00,000",,Recommended Year / Year of Completion : 2020,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Funds provided to Nazarat Deputy Collector, Hazaribagh for prevention and treatment of victims of the global pandemic Corona Covid-19.",,"Recommended Amount / Fund Amount / Fund Alloted : 1,50,000",,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Funds provided to District Coordinator, J.S.L.P.S., Hazaribagh for multi-layer masks for protection and treatment of victims of the global pandemic Corona Covid-19.",,"Recommended Amount / Fund Amount / Fund Alloted : 4,00,000",,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : For the arrangement of canal, food, care etc. for the 700 cows living in the Hazaribagh Gaushala of Calcutta Pinjrapole Society due to the problems arising out of the Corona disaster.",,"Recommended Amount / Fund Amount / Fund Alloted : 3,00,000",,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Funds provided to the Deputy Commissioner, Ramgarh for the purchase of PPE kits due to the global pandemic Corona Covid-19.",,"Recommended Amount / Fund Amount / Fund Alloted : 5,00,000",,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Funds provided to District Coordinator, J.S.L.P.S., Hazaribagh for multi-layer masks for protection and treatment of victims of the global pandemic Corona Covid-19. 16666 mask",,"Recommended Amount / Fund Amount / Fund Alloted : 2,99,988",,Recommended Year / Year of Completion : 2021,,Project Status:Completed
Ownership: Jayant Sinha ji / Jayant sir / Jayant Bhaiya / JS / Jayant Sinha ji ,Fund Name : Sansad Mad,,Vidhan Sabha: Covid,,Mandal:Covid,,Panchayat : ,,"Project Details / Work Done / Welfare Scheme : Funds provided to District Coordinator, J.S.L.P.S., Hazaribagh for multi-layer masks for protection and treatment of victims of the global pandemic Corona Covid-19. 138700 masks (1677280+419320=2096600.00)",,"Recommended Amount / Fund Amount / Fund Alloted : 20,96,600",,Recommended Year / Year of Completion : 2021,,Project Status:Completed
